ticker,company,cik
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,2034334.0
AACBR,Artius II Acquisition Inc. Rights,2034334.0
AACG,ATA Creativity Global American Depositary Shares,1420529.0
AACIU,Armada Acquisition Corp. III Units,2092897.0
AACOU,Abony Acquisition Corp. I Units,2099906.0
AAL,American Airlines Group Inc. Common Stock,6201.0
AAME,Atlantic American Corporation Common Stock,8177.0
AAOI,Applied Optoelectronics Inc. Common Stock,1158114.0
AAON,AAON Inc. Common Stock,824142.0
AAPG,Ascentage Pharma Group International American Depository Shares,2023311.0
AAPL,Apple Inc. Common Stock,320193.0
AARD,Aardvark Therapeutics Inc. Common Stock,1774857.0
ABAT,American Battery Technology Company Common Stock,1576873.0
ABCL,AbCellera Biologics Inc. Common Shares,1703057.0
ABEO,Abeona Therapeutics Inc. Common Stock,318306.0
ABLV,Able View Global Inc. Class B Ordinary Shares,1957489.0
ABLVW,Able View Global Inc. Warrant,1957489.0
ABNB,Airbnb Inc. Class A Common Stock,1559720.0
ABOS,Acumen Pharmaceuticals Inc. Common Stock,1576885.0
ABSI,Absci Corporation Common Stock,1672688.0
ABTC,American Bitcoin Corp. Class A Common Stock,1755953.0
ABTS,Abits Group Inc Ordinary Shares,1864055.0
ABUS,Arbutus Biopharma Corporation Common Stock,1447028.0
ABVC,ABVC BioPharma Inc. Common Stock,1173313.0
ABVE,Above Food Ingredients Inc. Common Stock,1979484.0
ABVEW,Above Food Ingredients Inc. Warrants,1979484.0
ABVX,Abivax SA American Depositary Shares,1956827.0
ACAAU,Averin Capital Acquisition Corp. Units,2096900.0
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,1070494.0
ACB,Aurora Cannabis Inc. Common Shares,1683541.0
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,2038378.0
ACDC,ProFrac Holding Corp. Class A Common Stock,1881487.0
ACET,Adicet Bio Inc. Common Stock,1720580.0
ACFN,Acorn Energy Inc. Common Stock,880984.0
ACGL,Arch Capital Group Ltd. Common Stock,947484.0
